id,question,choice_0,choice_1,choice_2,choice_3,choice_4,label,human_expl_open-ended,nle,max_shap_value
527e72eb38950b8031ee6217ef531960,"Of all the rooms in a house it was his favorite, the aromas always drew him to the what?",yard,basement,kitchen,living room,garden,2,Kitchen is the place in the house that produces pleasant aromas of food.,"The correct choice is 'kitchen' because the question implies that the room has aromas, which are typically associated with a kitchen where food is cooked.",0.27779750479385257
ad96098698b8378b2e79c6424920ffbd,What type of person typically contracts illness?,hospital,head,sick person,elderly person,doctor's office,3,"C is not revelant, sick person is already ill, and elders are prone do get another illness","The correct choice is 'elderly person' because the question asks about the type of person, not a place, and elderly people are generally more susceptible to illnesses.",0.12526546325534582
6d4ed2c485187ed79ff3bdcc8cca6132,Where would you expect to find a pizzeria while shopping?,chicago,street,little italy,food court,capital cities,3,"food court is the perfect place to get any type of food, specially pizza.","The correct choice is 'food court' because it is a common place to find a pizzeria while shopping, especially in a mall.",0.4198685041628778
a40f5339ee858a0a119cbac052c5a2d0,"When eating everything on the tasting menu, what does one tend to feel?",full stomach,getting full,gaining weight,sick,satisfaction,1,Large meals tend to fill people up,"The correct choice is 'getting full' because the question implies that one is eating a lot, which would naturally lead to feeling full.",0.12917051452677697
4850bf8b6b309548ef623d5592ffbca2,What does playing soccer for a long time lead to?,excitement,fatigue,anger,hurting,getting tired,4,"The other two things could happen, but are not dependent on it being a long time.",The correct choice is 'getting tired' because playing soccer for a long time would naturally lead to fatigue or tiredness.,0.1906606467673555
f5950a62f9eaae34f1e914b3cf5208cf,You can share files with someone if you have a connection to a what?,freeway,radio,wires,computer network,electrical circuit,3,"Files can be transmitted over a computer network, and not a freeway.  ""wires"" doesnt make any sense",The correct choice is 'computer network' because sharing files typically requires a network connection between computers.,0.3658951797988266
f36489668c28b26c0cdbc56cec1db27b,"The accelerator was controller via a hand throttle, and the foot pedals controlled the steering in the small what?",car,fuel system,accelerate,boat,airplane,4,is the best option in all,"The question is about a small vehicle with a unique control system. Among the options, an airplane is the most likely to have such a system, where the accelerator is controlled by hand and the steering by foot pedals.",0.1963224213104695
84e983f432647531b55b8b72c12fb78a,"Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?",knife wounds,buy a gun,bleeding,jail time,law suit,4,A law suit punishes as a result for committing a crime such as stabbing a stranger to death,"The question implies that Joe's actions led to a response from the victim's family. Among the options, a 'law suit' is the most plausible consequence that a family could impose on someone who harmed their loved one.",0.10416854615323246
68f123f22be7bff13875e8b752b2d933,To prevent any glare during the big football game he made sure to clean the dust of his what?,television,attic,corner,they cannot clean corner and library during football match they cannot need that,ground,0,TVs can have glare and dust.,"The question is about preventing glare during a football game. The most logical choice is 'television' as glare would be a concern when watching a game on TV, and dust on the screen could contribute to this.",0.29499199194833636
c9580b132b323906f0d51e7dc5b4ce29,"I have something in my head I want to share, what ways can I do that?",write an essay,organize thoughts,speak information,summarize main points,have information,2,"speak information something in my head I want to share,what ways","The question is about sharing something that's in one's head. Among the options, 'speak information' is the most direct way of sharing thoughts or ideas with others.",0.2513114735484123
