id,question,choice_0,choice_1,choice_2,choice_3,choice_4,label,human_expl_open-ended,nle,max_shap_value
f5e661359caeaa13ad4119aa016b0f64,What might be the result if one is convicted of obstructing justice?,injustice,fear,bad,criminal charges,going to jail,4,Law convicts a person obstructing justice to go to jail,The correct choice is 'going to jail' because obstructing justice is a crime and the punishment for committing a crime is often jail time. The other options do not fit the context of the question.,0.11187885917024687
4480509bffb92a1c28560387c7771f07,"Where can you buy copy paper, pens and desks?",computer printer,artist's studio,office supply store,classroom,supermarket,2,It is the only place you can purchase these items.,"The correct choice is 'office supply store' because it is a place where one can buy items such as copy paper, pens, and desks. The other options do not fit the context of the question.",0.4010346189606935
468fdcf557b33d7370a5400e5e22d257,What the positive consequences of drinking alcohol?,have fun,death,frequent urination,slurring words,sickness,0,have fun is the only positive option,The correct choice is 'have fun' because it is a positive consequence that some people associate with drinking alcohol. The other options are negative consequences associated with drinking alcohol.,0.15344594384077936
d0ac693e1405886d9dd77b745d295c3f,Where is dust likely to be visible in sunlight?,ground,restaurant,library,windowsill,carpet,3,Sunlight requires a window and windows sills arent cleaned very often hence the dust on them,Dust is likely to be visible in sunlight on a windowsill because dust particles can easily accumulate there and the sunlight can make them more noticeable.,0.317976291757077
6d30f8bc784636847960631951b5200a,"James raised the stairs, but john wanted to get up too.  What did James have to do to the stairs?",lower,push down,demotion,pay cut,repair,0,lower was the better choice over push down.,"James would need to lower the stairs for John to get up too, as the phrase ""raised the stairs"" implies that they are currently inaccessible to John.",0.23730707773938775
56b4e5f2da0f6b59b468b203d1c01373,Where can you buy opera glasses that are old?,museum,woman's purse,supermarket,antique store,theater,3,THE OPERA SHOULD SET THEIR GLASS IN ANTIQUE STORE BECAUSE HE IS OLD.,"An antique store is a place where one can buy old items, including opera glasses. The other options are not typically known for selling old opera glasses.",0.3355884251650423
44afe439a8e9f5a9afad14d51e8bea41,what is better than a paper clip to hold together paperwork in a hospital desk drawer?,file folder,staple,desk drawer,plastic holder,hospital,0,File folder allows ease of portability and usability.,A file folder is a better choice to hold together paperwork in a hospital desk drawer because it can keep the papers organized and prevent them from getting lost or damaged.,0.16164003335870802
258e37456f06d455322d2cd2db3232c3,"James is a normal person, but sometimes he's under the weather.  Normal people feel what sometimes?",ill,tangential,reverse,uncommon,unconventional,0,"When you are feeling under the weather, that refers to someone feeling ill.","The phrase ""under the weather"" is a common idiom that means feeling ill. Therefore, normal people sometimes feel ill.",0.3566575404256582
fbcab8ad2e4e5b7d4d7e57c642aadeac,"Fish have fins to move underwater, but can't walk because what?",no legs,they're stupid,scales,gills,bones,0,because fish have no legs,Fish can't walk because they have no legs. The other options are not relevant to the ability to walk.,0.42731581442058086
443e6c982e2214198c7e1cc73e83a448,John can't eat lunch right now.  He does not what?,get food,prepare food,have food,buy food,need food,2,The only explanation for someone not being able to lunch is not having food.,"If John can't eat lunch right now, it implies that he does not have food at the moment. The other options do not necessarily prevent him from eating lunch.",0.3040430184919387
